__typename,id,rowId,code,nameEn,nameFr,tags,descriptionEn,descriptionFr,categories,photoUrl,videoUrl,method,cookingDuration,totalCost,servingCost,tips,servingsSize,servingsSizeUnit,serves,nutritionRating,createdAt,updatedAt
Meal,1,1,cc_side,coriander coconut chutney,chutney de coriandre ?? la noix de coco,side dish;vegetarian;vegan;indian cuisine,"It can be used  to eat along with idli, dosa, vada, bonda or bajji","Il peut ??tre utilis?? pour manger avec idli, dosa vada, bonda ou bajji",BREAKFAST;SNACK;DINNER,,,"1. Clean the bunch of coriander leaves thoroughly.
2. grind 1 cup of coconut chunks to powder in a mixie
3. Then add 3/4th cup of roasted gram,  3 red chilli, 1 inch ginger and grind it
4. Then add coriander leaves, salt to taste and 1/2 cup of water and grind it to a paste.
5. Serve it is a thottukai for idli, dosa, vada, bonda or bajji",10,11.15,2,Defreeze the coconut chunks before 30 minutes to obtain soft texture. You can grind the coconut chunks to a poweder and store it in an airtight container.,2,tbsp,1,10,2023-01-04T00:04:46.837173,2023-01-04T00:04:46.837173
Meal,2,2,cs_side,Cucumber Dill Salad,,side dish;vegetarian;vegan;salad,,,LUNCH;DINNER,,,"1. Wash and dry the cucumber. The skin can be left on or partially removed. If using field cucumbers, peel and remove seeds prior to slicing.
2. Slice the cucumbers as thinly as possible (almost see through). Set aside
3. Place the vinegar, sugar, salt and pepper in a mixing bowl and whisk until the sugar has dissolved completely
4. Add the cucumber, onion and dill. Mix together well
5. Refrigerate, turning occasionally, for at least 1 hour",30,0,0,Defreeze the coconut chunks before 30 minutes to obtain soft texture. You can grind the coconut chunks to a poweder and store it in an airtight container.,0,??,8,10,2023-01-04T00:04:46.837173,2023-01-04T00:04:46.837173
Meal,3,3,bb_brkf,Breakfast Burrito,,breakfast;lunch;school,,,LUNCH;BREAKFAST,,,"1. Heat a frying pan or skillet over medium heat. Add the diced bacon and fry until just beginning to crisp. Add the peppers, onion and jalapeno if using and fry, stirring occasionally, until the bacon is cooked and the vegetables are softened. Remove bacon and vegetables from the pan and set aside. Pour off the fat from the pan and discard. Wipe out the pan with a paper towel.

2. In a bowl, whisk the egg, milk salt and pepper together. Add 1 Tbsp. / 15 ml of oil to the pan and heat over medium to low heat. Add the egg mixture and stirring, cook the eggs until just set.

3. While the eggs are cooking, lay out the tortilla shells on a flat surface. Divide the egg mixture between the 6 shells. Sprinkle each with 1 Tbsp. / 15 ml of grated cheese. Roll shells tightly, folding in the edges. Serve immediately with salsa on the side.",35,0,0,"If for school lunch, wrap in parchment paper and refrigerate for reheating in a microwave. Or, if for a later daily meal, wrap in foil and reheat in a 325-f oven for 8 ??? 10 minutes.",0,??,6,10,2023-01-04T00:04:46.837173,2023-01-04T00:04:46.837173
Meal,4,4,mc_main,Macaroni and Cheese,,dinner;pasta;stovetop,,,LUNCH;DINNER,,,"Preheat oven to 325 f??

1. Bring 3 litres of water, with 1 Tsp. (5 ml) of salt to the boil. Add the macaroni noodles and cook following package directions. Stir occasionally during cooking. Drain and rinse well under cold water. Place in a colander and set aside.

2. For the sauce - In a large saucepan over medium heat, melt the butter. Add the flour and mix well. Lower heat and cook for about 5 minutes. Stir frequently.

3. Heat the milk in a separate pan until warm and slowly add to the butter/flour mixture (the roux) over low heat, stirring frequently, cook until sauce thickens slightly, about 10-15 minutes.????

4. Turn the heat to very low, cover the saucepan and let sit for about 20 minutes, stirring occasionally, to cook out the taste of the flour. Add the grated cheese, salt and pepper. Stir until the cheese has melted.??

5. Add the noodles to the sauce and mix well. Place in a greased 8??? x 8??? deep baking dish. If the sauce appears too thick, add some warmed milk until desired consistency is reached. Remember, sauce will thicken during cooking as the pasta will absorb the sauce.??

6. Sprinkle the breadcrumbs over the macaroni and dot with butter or margarine. For a spicier topping sprinkle with the chili powder. Bake uncovered in pre-heated oven for about 30-35 minutes or until the sauce has bubbled around the edges and the top is nicely browned. Allow to sit for a few minutes before serving.",60,0,0,,0,??,6,10,2023-01-04T00:04:46.837173,2023-01-04T00:04:46.837173
Meal,5,5,SC_Cutlet,Soys Chunks Cutlet,Escalope de morceaux de soja,indianfood;vegan,"soya chunks cutlet recipe is a healthy nutritious snack that is richly flavoured with onion, ginger and other basic indian spices. It is a very popular for protein and can be taken as a simple snack item.","La recette de côtelettes de morceaux de soja est une collation nutritive saine qui est richement aromatisée avec de l'oignon, du gingembre et d'autres épices indiennes de base. C'est un très populaire pour les protéines et peut être pris comme un simple en-cas.",BREAKFAST;DINNER,https://hebbarskitchen.com/wp-content/uploads/2016/07/soya-chunks-cutlet-recipe-cutlet-with-soya-chunks-recipe-14-1068x1423.jpg.webp,https://www.youtube.com/watch?v=5oHMSxala1g,<p>soak the soya chunks into the hot water for 30 minutes. Drain the water and in a large bowl squeeze off excess water from the chunks properly</p>,40,20,5,Keep batter for fermentation in a container that has enough room to raise. Add little water while grinding. Adjust water depending on required batter consistency. Dosa batter should be of pouring consistency. Make sure it's neither too thick nor too watery. Millets must be soaked for a minimum of 6 hrs to make the grains more digestible.,3,12 cutlets,4,4,2023-01-06T18:48:43.784406,2023-01-06T18:48:43.784406
Meal,6,6,SC_Cutlet,Soys Chunks Cutlet,Escalope de morceaux de soja,indianfood;vegan,"soya chunks cutlet recipe is a healthy nutritious snack that is richly flavoured with onion, ginger and other basic indian spices. It is a very popular for protein and can be taken as a simple snack item.","La recette de côtelettes de morceaux de soja est une collation nutritive saine qui est richement aromatisée avec de l'oignon, du gingembre et d'autres épices indiennes de base. C'est un très populaire pour les protéines et peut être pris comme un simple en-cas.",BREAKFAST;DINNER,https://hebbarskitchen.com/wp-content/uploads/2016/07/soya-chunks-cutlet-recipe-cutlet-with-soya-chunks-recipe-14-1068x1423.jpg.webp,https://www.youtube.com/watch?v=5oHMSxala1g,<p>soak the soya chunks into the hot water for 30 minutes. Drain the water and in a large bowl squeeze off excess water from the chunks properly</p>,40,20,5,Keep batter for fermentation in a container that has enough room to raise. Add little water while grinding. Adjust water depending on required batter consistency. Dosa batter should be of pouring consistency. Make sure it's neither too thick nor too watery. Millets must be soaked for a minimum of 6 hrs to make the grains more digestible.,3,12 cutlets,4,4,2023-01-06T19:16:33.649255,2023-01-06T19:16:33.649255
Meal,7,7,SC_Cutlet,Soys Chunks Cutlet,Escalope de morceaux de soja,indianfood;vegan,"soya chunks cutlet recipe is a healthy nutritious snack that is richly flavoured with onion, ginger and other basic indian spices. It is a very popular for protein and can be taken as a simple snack item.","La recette de côtelettes de morceaux de soja est une collation nutritive saine qui est richement aromatisée avec de l'oignon, du gingembre et d'autres épices indiennes de base. C'est un très populaire pour les protéines et peut être pris comme un simple en-cas.",BREAKFAST;DINNER,https://hebbarskitchen.com/wp-content/uploads/2016/07/soya-chunks-cutlet-recipe-cutlet-with-soya-chunks-recipe-14-1068x1423.jpg.webp,https://www.youtube.com/watch?v=5oHMSxala1g,<p>soak the soya chunks into the hot water for 30 minutes. Drain the water and in a large bowl squeeze off excess water from the chunks properly</p>,40,20,5,Keep batter for fermentation in a container that has enough room to raise. Add little water while grinding. Adjust water depending on required batter consistency. Dosa batter should be of pouring consistency. Make sure it's neither too thick nor too watery. Millets must be soaked for a minimum of 6 hrs to make the grains more digestible.,3,12 cutlets,4,4,2023-01-09T16:39:59.267647,2023-01-09T16:39:59.267647
Meal,8,8,SC_Cutlet,Soys Chunks Cutlet,Escalope de morceaux de soja,indianfood;vegan,"soya chunks cutlet recipe is a healthy nutritious snack that is richly flavoured with onion, ginger and other basic indian spices. It is a very popular for protein and can be taken as a simple snack item.","La recette de côtelettes de morceaux de soja est une collation nutritive saine qui est richement aromatisée avec de l'oignon, du gingembre et d'autres épices indiennes de base. C'est un très populaire pour les protéines et peut être pris comme un simple en-cas.",BREAKFAST;DINNER,https://hebbarskitchen.com/wp-content/uploads/2016/07/soya-chunks-cutlet-recipe-cutlet-with-soya-chunks-recipe-14-1068x1423.jpg.webp,https://www.youtube.com/watch?v=5oHMSxala1g,<p>soak the soya chunks into the hot water for 30 minutes. Drain the water and in a large bowl squeeze off excess water from the chunks properly</p>,40,20,5,Keep batter for fermentation in a container that has enough room to raise. Add little water while grinding. Adjust water depending on required batter consistency. Dosa batter should be of pouring consistency. Make sure it's neither too thick nor too watery. Millets must be soaked for a minimum of 6 hrs to make the grains more digestible.,3,12 cutlets,4,4,2023-01-09T16:48:04.094198,2023-01-09T16:48:04.094198
Meal,9,9,SC_Cutlet,Soys Chunks Cutlet,Escalope de morceaux de soja,indianfood;vegan,"soya chunks cutlet recipe is a healthy nutritious snack that is richly flavoured with onion, ginger and other basic indian spices. It is a very popular for protein and can be taken as a simple snack item.","La recette de côtelettes de morceaux de soja est une collation nutritive saine qui est richement aromatisée avec de l'oignon, du gingembre et d'autres épices indiennes de base. C'est un très populaire pour les protéines et peut être pris comme un simple en-cas.",BREAKFAST;DINNER,https://hebbarskitchen.com/wp-content/uploads/2016/07/soya-chunks-cutlet-recipe-cutlet-with-soya-chunks-recipe-14-1068x1423.jpg.webp,https://www.youtube.com/watch?v=5oHMSxala1g,<p>soak the soya chunks into the hot water for 30 minutes. Drain the water and in a large bowl squeeze off excess water from the chunks properly</p>,40,20,5,Keep batter for fermentation in a container that has enough room to raise. Add little water while grinding. Adjust water depending on required batter consistency. Dosa batter should be of pouring consistency. Make sure it's neither too thick nor too watery. Millets must be soaked for a minimum of 6 hrs to make the grains more digestible.,3,12 cutlets,4,4,2023-01-09T17:17:36.192215,2023-01-09T17:17:36.192215
Meal,10,10,SC_Cutlet,Soys Chunks Cutlet,Escalope de morceaux de soja,indianfood;vegan,"soya chunks cutlet recipe is a healthy nutritious snack that is richly flavoured with onion, ginger and other basic indian spices. It is a very popular for protein and can be taken as a simple snack item.","La recette de côtelettes de morceaux de soja est une collation nutritive saine qui est richement aromatisée avec de l'oignon, du gingembre et d'autres épices indiennes de base. C'est un très populaire pour les protéines et peut être pris comme un simple en-cas.",BREAKFAST;DINNER,https://hebbarskitchen.com/wp-content/uploads/2016/07/soya-chunks-cutlet-recipe-cutlet-with-soya-chunks-recipe-14-1068x1423.jpg.webp,https://www.youtube.com/watch?v=5oHMSxala1g,<p>soak the soya chunks into the hot water for 30 minutes. Drain the water and in a large bowl squeeze off excess water from the chunks properly</p>,40,20,5,Keep batter for fermentation in a container that has enough room to raise. Add little water while grinding. Adjust water depending on required batter consistency. Dosa batter should be of pouring consistency. Make sure it's neither too thick nor too watery. Millets must be soaked for a minimum of 6 hrs to make the grains more digestible.,3,12 cutlets,4,4,2023-01-09T17:35:00.527541,2023-01-09T17:35:00.527541
